,n_expt,id,phant_id,tum_rad,tum_shape,tum_x,tum_y,tum_z,birads,adi_ref_id,emp_ref_id,date,n_session,ant_rad,ant_z,fib_ang,adi_x,adi_y,fib_ref_id,fib_x,fib_y,tum_in_fib
20,2,23,A13F14,,,,,,4,,26,07/09/2019,3,21,-6.51,15,0.5,0,,0,-1,
21,3,24,A13F14,,,,,,4,,26,07/09/2019,3,21,-6.51,165,-1,0,,0,-1,
22,4,25,A13F14,,,,,,4,,26,07/09/2019,3,21,-6.51,195,-1,0,,0,1,
23,1,27,A13F14,,,,,,4,,28,07/09/2019,4,21,-6.51,-15,0.5,0,,0,1,
24,1,29,A13F12,,,,,,3,,34,07/09/2019,5,21,-6.51,0,0,0,,0,0,
25,2,30,A13F12,,,,,,3,,34,07/09/2019,5,21,-6.51,15,0,-0.5,,0,0,
26,3,31,A13F12,,,,,,3,,34,07/09/2019,5,21,-6.51,-15,-1,0,,0,0,
27,4,32,A13F12,,,,,,3,,34,07/09/2019,5,21,-6.51,-30,-1,0,,0,0,
28,5,33,A13F12,,,,,,3,,34,07/09/2019,5,21,-6.51,30,1,0,,0,0,
29,7,35,A13F12,,,,,,3,,34,07/09/2019,5,21,-6.51,180,0,0,,0,0,
30,8,36,A13F12,,,,,,3,,34,07/09/2019,5,21,-6.51,195,0.5,0,,0,0,
31,1,37,A14F14,,,,,,4,,42,07/09/2019,6,22,-6.51,0,0,0,,0,0,
32,2,38,A14F14,,,,,,4,,42,07/09/2019,6,22,-6.51,15,0,-0.5,,0,0,
33,3,39,A14F14,,,,,,4,,42,07/09/2019,6,22,-6.51,-15,1,-0.5,,0,0,
34,4,40,A14F14,,,,,,4,,42,07/09/2019,6,22,-6.51,30,1,-0.5,,0,0,
35,5,41,A14F14,,,,,,4,,42,07/09/2019,6,22,-6.51,-30,-0.5,-0.5,,0,0,
36,7,43,A14F14,,,,,,4,,42,07/09/2019,6,22,-6.51,180,-0.5,0,,0,0,
37,8,44,A14F14,,,,,,4,,42,07/09/2019,6,22,-6.51,195,-0.5,0.5,,0,0,
38,9,45,A14F14,,,,,,4,,42,07/09/2019,6,22,-6.51,165,-0.5,0.5,,0,0,
39,10,46,A14F14,,,,,,4,,42,07/09/2019,6,22,-6.51,150,1,0,,0,0,
40,11,47,A14F14,,,,,,4,,42,07/09/2019,6,22,-6.51,210,1,0,,0,0,
41,1,48,A14F14,,,,,,4,,52,07/09/2019,7,22,-6.51,0,0,0,,0,1,
42,2,49,A14F14,,,,,,4,,52,07/09/2019,7,22,-6.51,-15,0,0.5,,0,-0.5,
43,3,50,A14F14,,,,,,4,,52,07/09/2019,7,22,-6.51,15,0,0.5,,0,0.5,
44,4,51,A14F14,,,,,,4,,52,07/09/2019,7,22,-6.51,180,0.5,0,,0,-1,
45,1,53,A14F13,,,,,,3,,58,09/09/2019,8,22,-6.51,0,0,0,,0,0,
46,2,54,A14F13,,,,,,3,,58,09/09/2019,8,22,-6.51,45,0,-0.5,,0,0,
47,3,55,A14F13,,,,,,3,,58,09/09/2019,8,22,-6.51,-45,0.5,-0.5,,0,0,
48,4,56,A14F13,,,,,,3,,58,09/09/2019,8,22,-6.51,180,-1,0,,0,0,
49,5,57,A14F13,,,,,,3,,58,09/09/2019,8,22,-6.51,90,0,0,,0,0,
50,7,59,A14F13,,,,,,3,,58,09/09/2019,8,22,-6.51,0,0,0,,-0.5,0,
51,8,60,A14F13,,,,,,3,,58,09/09/2019,8,22,-6.51,180,0,0,,0,-1,
52,1,61,A14F12,,,,,,3,,66,09/09/2019,9,22,-6.51,0,0,0,,0,0,
53,2,62,A14F12,,,,,,3,,66,09/09/2019,9,22,-6.51,15,1,0,,0,0,
54,3,63,A14F12,,,,,,3,,66,09/09/2019,9,22,-6.51,-15,0,0,,0,1,
55,4,64,A14F12,,,,,,3,,66,09/09/2019,9,22,-6.51,90,0,-0.5,,0,-1,
56,5,65,A14F12,,,,,,3,,66,09/09/2019,9,22,-6.51,-90,0,-0.5,,-0.5,0.5,
57,7,67,A14F12,,,,,,3,,66,09/09/2019,9,22,-6.51,0,0.5,0,,0,0.5,
58,8,68,A14F12,,,,,,3,,66,09/09/2019,9,22,-6.51,180,0.5,0,,0,-1.5,
59,1,69,A11F11,,,,,,3,,74,09/09/2019,10,22,-6.51,0,0,0,,0,0,
60,2,70,A11F11,,,,,,3,,74,09/09/2019,10,22,-6.51,15,1,0,,0,0,
61,3,71,A11F11,,,,,,3,,74,09/09/2019,10,22,-6.51,-15,0,0.5,,0,0,
62,4,72,A11F11,,,,,,3,,74,09/09/2019,10,22,-6.51,-45,-0.5,-0.5,,0,0,
63,5,73,A11F11,,,,,,3,,74,09/09/2019,10,22,-6.51,30,0,0,,0,-1,
64,7,75,A11F11,,,,,,3,,74,09/09/2019,10,22,-6.51,180,0,1,,0,0,
65,8,76,A11F11,,,,,,3,,74,09/09/2019,10,22,-6.51,195,-0.5,0,,0,0,
66,9,77,A11F11,,,,,,3,,74,09/09/2019,10,22,-6.51,165,-0.5,0.5,,0,0,
67,10,78,A11F11,,,,,,3,,74,09/09/2019,10,22,-6.51,150,0,0,,0,0,
68,11,79,A11F11,,,,,,3,,74,09/09/2019,10,22,-6.51,195,0.5,-0.5,,0,0,
69,1,80,A11F11,,,,,,3,,82,09/09/2019,11,22,-6.51,0,0.5,-0.5,,0,-1,
70,2,81,A11F11,,,,,,3,,82,09/09/2019,11,22,-6.51,15,0.5,0,,0,1,
71,4,83,A11F11,,,,,,3,,82,09/09/2019,11,22,-6.51,180,0,-0.5,,0,-1,
72,5,84,A11F11,,,,,,3,,82,09/09/2019,11,22,-6.51,195,0,-0.5,,0,1,
73,1,85,A13F11,,,,,,2,,88,09/09/2019,12,22,-6.51,0,0,0,,0,0,
74,2,86,A13F11,,,,,,2,,88,09/09/2019,12,22,-6.51,30,0.5,0,,0,-1,
75,3,87,A13F11,,,,,,2,,88,09/09/2019,12,22,-6.51,-15,-0.5,0,,0.5,0,
76,5,89,A13F11,,,,,,2,,88,09/09/2019,12,22,-6.51,90,0.5,-0.5,,0,0,
77,6,90,A13F11,,,,,,2,,88,09/09/2019,12,22,-6.51,45,0,-0.5,,0,0,
78,1,91,A14F11,,,,,,2,,93,09/09/2019,13,22,-6.51,0,0,0,,0,0,
79,2,92,A14F11,,,,,,2,,93,09/09/2019,13,22,-6.51,180,0,-0.5,,0,1,
80,4,94,A14F11,,,,,,2,,93,09/09/2019,13,22,-6.51,90,0,0,,0,-2,
81,5,95,A14F11,,,,,,2,,93,09/09/2019,13,22,-6.51,45,0,0.5,,0,0,
423,1,500,A1F1,,,,,,2,,505,26/10/2019,66,21,-6.51,0,0,0,,0,0,
424,2,501,A1F1,,,,,,2,,505,26/10/2019,66,21,-6.51,15,0,-0.5,,0,0,
425,3,502,A1F1,,,,,,2,,505,26/10/2019,66,21,-6.51,30,0,0.5,,0,0,
426,4,503,A1F1,,,,,,2,,505,26/10/2019,66,21,-6.51,45,-0.5,0,,0,0,
427,5,504,A1F1,,,,,,2,,505,26/10/2019,66,21,-6.51,60,0.5,0,,0,0,
428,7,506,A1F1,,,,,,2,,505,26/10/2019,66,21,-6.51,90,-0.5,-0.5,,0,0,
429,8,507,A1F1,,,,,,2,,505,26/10/2019,66,21,-6.51,-15,0.5,0.5,,0,0,
430,9,508,A1F1,,,,,,2,,505,26/10/2019,66,21,-6.51,-45,0,0,,0,-2,
431,10,509,A1F1,,,,,,2,,505,26/10/2019,66,21,-6.51,-60,0,0,,0,1,
432,11,510,A1F1,,,,,,2,,505,26/10/2019,66,21,-6.51,-90,0,-0.5,,0,-2,
433,1,511,A1F1,,,,,,2,,516,26/10/2019,67,21,-6.51,180,0,0.5,,0,0,
434,2,512,A1F1,,,,,,2,,516,26/10/2019,67,21,-6.51,195,0.5,0,,1,0,
435,3,513,A1F1,,,,,,2,,516,26/10/2019,67,21,-6.51,210,-0.5,0,,1,1,
436,4,514,A1F1,,,,,,2,,516,26/10/2019,67,21,-6.51,225,0,0,,0,-2,
437,5,515,A1F1,,,,,,2,,516,26/10/2019,67,21,-6.51,165,0.5,0.5,,0,-2,
438,7,517,A1F1,,,,,,2,,516,26/10/2019,67,21,-6.51,0,0,-0.5,,0,1,
98,1,116,A13F14,1.5,sphere,0.75,2,-5.5,4,121,122,10/09/2019,16,22,-6.51,0,0,0,,0,0,1
99,2,117,A13F14,1.5,sphere,0,2.75,-5.5,4,121,122,10/09/2019,16,22,-6.51,15,0,0,,-0.25,1.5,1
100,3,118,A13F14,1,sphere,-2.25,-2.25,-6.5,4,121,122,10/09/2019,16,22,-6.51,180,0,0,,1,0,0
101,4,119,A13F14,1,sphere,0.75,-1.75,-5.5,4,121,122,10/09/2019,16,22,-6.51,165,0,0,,0,0,1
102,5,120,A13F14,0.5,sphere,-2.25,-2.25,-6.7,4,121,122,10/09/2019,16,22,-6.51,-15,0,0,,0,0,0
103,8,123,A13F14,1.5,sphere,-2.25,-2.25,-6.5,4,128,122,10/09/2019,16,22,-6.51,-15,-0.5,-0.5,,0,1.75,0
104,9,124,A13F14,1,sphere,-2.25,-3.75,-6.7,4,128,122,10/09/2019,16,22,-6.51,-15,-0.5,-0.5,,0,1.75,0
105,10,125,A13F14,0.5,sphere,-2.25,-3.75,-6.7,4,128,122,10/09/2019,16,22,-6.51,-15,-0.5,-0.5,,0,1.75,0
106,11,126,A13F14,0.5,sphere,0.75,-0.75,-5.5,4,128,122,10/09/2019,16,22,-6.51,0,-0.5,-0.5,,0,0,1
107,12,127,A13F14,0.5,sphere,-3.75,-0.75,-6.7,4,128,122,10/09/2019,16,22,-6.51,0,-0.5,-0.5,,0,0,0
108,2,130,A13F14,1.5,sphere,0.75,-0.75,-5.5,4,134,129,10/09/2019,17,22,-6.51,180,0.5,0,,0,0,1
109,3,131,A13F14,1.5,sphere,2.25,-2.25,-6.5,4,134,129,10/09/2019,17,22,-6.51,195,0.5,0,,0,1.5,0
110,4,132,A13F14,1,sphere,2.25,-2.25,-6.7,4,134,129,10/09/2019,17,22,-6.51,195,0.5,0,,0,1.5,0
111,5,133,A13F14,1,sphere,-0.75,3.75,-5.5,4,134,129,10/09/2019,17,22,-6.51,195,0.5,0,,0,1.5,1
112,1,135,A11F4,,,,,,4,,139,17/09/2019,18,22,-6.51,0,0,0,,0,0,
113,2,136,A11F4,,,,,,4,,139,17/09/2019,18,22,-6.51,15,0.5,0,,0,0,
114,3,137,A11F4,,,,,,4,,139,17/09/2019,18,22,-6.51,-15,0,0.5,,0,-0.5,
115,4,138,A11F4,,,,,,4,,139,17/09/2019,18,22,-6.51,180,-0.5,0,,0,-1,
116,6,140,A14F4,,,,,,2,,139,17/09/2019,18,22,-6.51,0,0,0,,0,0,
117,7,141,A14F4,,,,,,2,,139,17/09/2019,18,22,-6.51,15,0.5,-0.5,,0,0,
118,8,142,A14F4,,,,,,2,,139,17/09/2019,18,22,-6.51,-30,0,0.5,,0,0,
119,9,143,A14F4,,,,,,2,,139,17/09/2019,18,22,-6.51,180,0,0.5,,-1,-1,
120,1,144,A13F4,,,,,,3,,148,17/09/2019,19,22,-6.51,0,0,0,,0,0,
121,2,145,A13F4,,,,,,3,,148,17/09/2019,19,22,-6.51,15,0.5,0.5,,0,0,
122,3,146,A13F4,,,,,,3,,148,17/09/2019,19,22,-6.51,-15,0,0,,0,1,
123,4,147,A13F4,,,,,,3,,148,17/09/2019,19,22,-6.51,30,0.5,-0.5,,0,0,
124,6,149,A13F4,,,,,,3,,148,17/09/2019,19,22,-6.51,180,0,0,,-0.5,0,
125,7,150,A13F4,,,,,,3,,148,17/09/2019,19,22,-6.51,195,0,0.5,,0,0,
126,8,151,A13F4,,,,,,3,,148,17/09/2019,19,22,-6.51,210,0,-0.5,,0,0,
439,8,518,A1F1,,,,,,2,,516,26/10/2019,67,21,-6.51,-30,0.5,0,,0,0,
440,9,519,A1F1,,,,,,2,,516,26/10/2019,67,21,-6.51,150,-0.5,0,,0,0,
441,10,520,A1F1,,,,,,2,,516,26/10/2019,67,21,-6.51,135,0,-0.5,,0,0,
660,1,808,A1F1,1.5,sphere,2.25,-1.75,-4,2,812,813,04/12/2019,102,21,-6.51,0,0,0,,0,0,0
661,2,809,A1F1,1,sphere,2.25,-1.75,-4,2,812,813,04/12/2019,102,21,-6.51,15,0,0,,0,0,0
662,3,810,A1F1,1,sphere,0,-0.75,-4,2,812,813,04/12/2019,102,21,-6.51,30,0,0,,0,0,0
663,4,811,A1F1,0.5,sphere,0,0,-4,2,812,813,04/12/2019,102,21,-6.51,45,0,0,,0,0,0
664,7,814,A1F1,1,sphere,-0.5,2.25,-4,2,818,813,04/12/2019,102,21,-6.51,60,0,0.5,,0,0,0
665,8,815,A1F1,1,sphere,-0.75,-1,-4,2,818,813,04/12/2019,102,21,-6.51,75,0,0.5,,0,0,0
136,1,162,A11F4,1.5,sphere,0,1.25,-3.2,4,166,167,17/09/2019,21,21,-6.51,0,0,0,,0,0,1
137,2,163,A11F4,1.5,sphere,0.75,-3.5,-6.5,4,166,167,17/09/2019,21,21,-6.51,0,0,0,,0,1,0
138,3,164,A11F4,1,sphere,0.75,-3.75,-6.7,4,166,167,17/09/2019,21,21,-6.51,15,0,0,,0,1,0
139,4,165,A11F4,0.5,sphere,0.75,-3.75,-6.7,4,166,167,17/09/2019,21,21,-6.51,,0,0,,0,1,0
140,1,168,A14F4,1.5,sphere,2.25,-2.25,-6.5,2,172,173,19/09/2019,22,22,-6.51,0,0,0,,-1,0,
141,2,169,A14F4,1,sphere,2.25,-3.75,-6.7,2,172,173,19/09/2019,22,22,-6.51,0,0,0,,0,1,
142,3,170,A14F4,1,sphere,2.25,-0.75,-6.7,2,172,173,19/09/2019,22,22,-6.51,15,0,0,,0,0,
143,4,171,A14F4,0.5,sphere,-2.25,-0.75,-6.7,2,172,173,19/09/2019,22,22,-6.51,195,0,0,,0,0,
144,1,174,A11F11,1.5,sphere,0.75,-3.75,-6.5,3,177,178,20/09/2019,23,21,-6.51,0,0.5,0,,-0.5,1,0
145,2,175,A11F11,1,sphere,0.75,-3.75,-6.7,3,177,178,20/09/2019,23,21,-6.51,0,0.5,0,,-0.5,1,0
146,3,176,A11F11,1,sphere,-0.75,-3.75,-6.7,3,177,178,20/09/2019,23,21,-6.51,-45,0.5,0,,0,0,0
147,6,179,A11F11,0.5,sphere,-2.25,-2.25,-6.7,3,182,178,20/09/2019,23,21,-6.51,180,0,0.5,,0,1,
148,7,180,A11F11,0.5,sphere,0.75,-3.75,-6.7,3,182,178,20/09/2019,23,21,-6.51,195,0,0.5,,0,0,
149,8,181,A11F11,0.5,sphere,2.25,-2.25,-6.7,3,182,178,20/09/2019,23,21,-6.51,210,0,0.5,,0,0,
666,9,816,A1F1,0.5,sphere,-0.75,3,-3,2,818,813,04/12/2019,102,21,-6.51,90,0,0.5,,0,0,0
667,10,817,A1F1,0.5,sphere,-0.75,-1.5,-4,2,818,813,04/12/2019,102,21,-6.51,-15,0,0.5,,0,0,0
668,1,819,A1F1,1,sphere,-0.75,-3.75,-4,2,823,824,04/12/2019,103,21,-6.51,-30,-0.5,0,,0,0,0
669,2,820,A1F1,1,sphere,0,-2.25,-4,2,823,824,04/12/2019,103,21,-6.51,-45,-0.5,0,,0,0,0
670,3,821,A1F1,0.5,sphere,-0.75,-4,-4,2,823,824,04/12/2019,103,21,-6.51,-60,-0.5,0,,0,0,0
671,4,822,A1F1,0.5,sphere,2,-2.25,-4.5,2,823,824,04/12/2019,103,21,-6.51,-75,-0.5,0,,0,0,0
672,7,825,A1F1,1.5,sphere,0.5,-2.75,-4,2,829,824,04/12/2019,103,21,-6.51,45,0.5,0,,0,1.5,0
673,8,826,A1F1,0.5,sphere,0.5,-2.75,-4,2,829,824,04/12/2019,103,21,-6.51,45,0.5,0,,0,1.5,0
674,9,827,A1F1,0.5,sphere,1.5,-0.75,-4,2,829,824,04/12/2019,103,21,-6.51,180,0.5,0,,0,0,0
675,10,828,A1F1,0.5,sphere,-0.5,1,-4.5,2,829,824,04/12/2019,103,21,-6.51,195,0.5,0,,0,0,0
676,1,830,A1F1,1.5,sphere,0,-2.5,-4,2,833,834,04/12/2019,104,21,-6.51,165,0,0,,0,1.5,0
677,2,831,A1F1,1,sphere,0.75,-2.25,-4,2,833,834,04/12/2019,104,21,-6.51,165,0,0,,0,1.5,0
678,3,832,A1F1,0.5,sphere,0.75,-2.25,-4,2,833,834,04/12/2019,104,21,-6.51,165,0,0,,0,1.5,0
82,1,96,A1F11,,,,,,4,,100,10/09/2019,14,21,-6.51,0,0,0,,0,0,
83,2,97,A1F11,,,,,,4,,100,10/09/2019,14,21,-6.51,-15,0,0.5,,0,0,
84,3,98,A1F11,,,,,,4,,100,10/09/2019,14,21,-6.51,15,0.5,0,,0,0,
85,4,99,A1F11,,,,,,4,,100,10/09/2019,14,21,-6.51,30,0,1,,0,0,
167,1,204,A11F1,,,,,,1,,209,29/09/2019,27,22,-6.51,0,0,0,,0,0,
168,2,205,A11F1,,,,,,1,,209,29/09/2019,27,22,-6.51,30,-0.5,0.5,,0,0,
169,3,206,A11F1,,,,,,1,,209,29/09/2019,27,22,-6.51,45,-0.5,0.5,,0,-1,
170,4,207,A11F1,,,,,,1,,209,29/09/2019,27,22,-6.51,-15,0,0.5,,0,0,
171,5,208,A11F1,,,,,,1,,209,29/09/2019,27,22,-6.51,-45,0,-1,,0,0,
172,7,210,A11F1,,,,,,1,,209,29/09/2019,27,22,-6.51,-90,0.5,0,,0,1,
173,8,211,A11F1,,,,,,1,,209,29/09/2019,27,22,-6.51,90,0,0,,1,0,
174,9,212,A11F1,,,,,,1,,209,29/09/2019,27,22,-6.51,105,0,0,,-1,0,
175,10,213,A11F1,,,,,,1,,209,29/09/2019,27,22,-6.51,120,0,-0.5,,0.5,0,
176,11,214,A11F1,,,,,,1,,209,29/09/2019,27,22,-6.51,180,0,-0.5,,0.5,0.5,
177,1,215,A11F1,,,,,,1,,217,29/09/2019,28,22,-6.51,0,-0.5,-0.5,,0,1,
178,2,216,A11F1,,,,,,1,,217,29/09/2019,28,22,-6.51,-30,-0.5,-0.5,,0,-1,
179,4,218,A11F1,,,,,,1,,217,29/09/2019,28,22,-6.51,195,0,0,,0,0,
180,5,219,A11F1,,,,,,1,,217,29/09/2019,28,22,-6.51,210,-1,0,,0,1,
181,1,220,A13F1,,,,,,1,,225,29/09/2019,29,22,-6.51,0,0,0,,0,0,
182,2,221,A13F1,,,,,,1,,225,29/09/2019,29,22,-6.51,15,0,0,,0,-2,
183,3,222,A13F1,,,,,,1,,225,29/09/2019,29,22,-6.51,45,0,-1,,0,0,
184,4,223,A13F1,,,,,,1,,225,29/09/2019,29,22,-6.51,90,0,0,,-1,0,
185,5,224,A13F1,,,,,,1,,225,29/09/2019,29,22,-6.51,75,1,0,,-1,0,
186,7,226,A13F1,,,,,,1,,225,29/09/2019,29,22,-6.51,-15,-1,0,,0,0,
187,8,227,A13F1,,,,,,1,,225,29/09/2019,29,22,-6.51,-30,-1,0,,1,1,
188,9,228,A13F1,,,,,,1,,225,29/09/2019,29,22,-6.51,-45,0,0,,-1,-2,
189,10,229,A13F1,,,,,,1,,225,29/09/2019,29,22,-6.51,-90,1,-1,,0,0,
190,11,230,A13F1,,,,,,1,,225,29/09/2019,29,22,-6.51,-120,0,0,,0,2,
191,1,231,A13F1,,,,,,1,,233,29/09/2019,30,22,-6.51,180,0,0,,0,-0.5,
192,2,232,A13F1,,,,,,1,,233,29/09/2019,30,22,-6.51,195,0.5,0,,0.5,0,
193,4,234,A13F1,,,,,,1,,233,29/09/2019,30,22,-6.51,165,0,-0.5,,0.5,0,
194,5,235,A13F1,,,,,,1,,233,29/09/2019,30,22,-6.51,30,0,0,,0,0,
195,1,236,A15F1,,,,,,1,,240,29/09/2019,31,22,-6.51,0,0,0,,0,0,
196,2,237,A15F1,,,,,,1,,240,29/09/2019,31,22,-6.51,15,0,-0.5,,0,2,
197,3,238,A15F1,,,,,,1,,240,29/09/2019,31,22,-6.51,90,0,-0.5,,1,0,
198,4,239,A15F1,,,,,,1,,240,29/09/2019,31,22,-6.51,-45,0,0,,0.5,0.5,
199,6,241,A15F1,,,,,,1,,240,29/09/2019,31,22,-6.51,180,0,0,,0,-1.5,
200,7,242,A15F1,,,,,,1,,240,29/09/2019,31,22,-6.51,195,0,0,,0,1,
201,8,243,A15F1,,,,,,1,,240,29/09/2019,31,22,-6.51,-90,0.5,-0.5,,0,0,
202,1,244,A15F14,,,,,,3,,249,22/10/2019,32,22,-6.51,0,0,0,,0,0,
203,2,245,A15F14,,,,,,3,,249,22/10/2019,32,22,-6.51,15,0,-0.5,,0,0,
204,3,246,A15F14,,,,,,3,,249,22/10/2019,32,22,-6.51,-15,0,0.5,,0,0,
205,4,247,A15F14,,,,,,3,,249,22/10/2019,32,22,-6.51,30,-0.5,0,,0,0,
206,5,248,A15F14,,,,,,3,,249,22/10/2019,32,22,-6.51,-30,0.5,0,,0,0,
207,7,250,A15F14,,,,,,3,,249,22/10/2019,32,22,-6.51,45,0,0,,0,0,
208,8,251,A15F14,,,,,,3,,249,22/10/2019,32,22,-6.51,-45,0,-0.5,,0,0,
209,9,252,A15F14,,,,,,3,,249,22/10/2019,32,22,-6.51,90,0,-0.5,,0,0,
210,10,253,A15F14,,,,,,3,,249,22/10/2019,32,22,-6.51,-90,-0.5,0,,0,0,
211,11,254,A15F14,,,,,,3,,249,22/10/2019,32,22,-6.51,180,0,0,,0,0,
212,1,255,A15F14,,,,,,3,,257,22/10/2019,33,22,-6.51,195,0.5,0.5,,0,0,
213,2,256,A15F14,,,,,,3,,257,22/10/2019,33,22,-6.51,165,-0.5,-0.5,,0,0,
214,4,258,A15F14,,,,,,3,,257,22/10/2019,33,22,-6.51,150,0,0,,0,0,
215,5,259,A15F14,,,,,,3,,257,22/10/2019,33,22,-6.51,210,0,1,,0,0,
216,1,260,A16F14,,,,,,3,,265,22/10/2019,34,22,-6.51,0,0,0,,0,0,
217,2,261,A16F14,,,,,,3,,265,22/10/2019,34,22,-6.51,15,-0.5,0,,0,0,
218,3,262,A16F14,,,,,,3,,265,22/10/2019,34,22,-6.51,-15,0.5,0,,0,0,
219,4,263,A16F14,,,,,,3,,265,22/10/2019,34,22,-6.51,-30,0,-0.25,,0,0,
220,5,264,A16F14,,,,,,3,,265,22/10/2019,34,22,-6.51,30,0,-0.25,,0,0,
221,7,266,A16F14,,,,,,3,,265,22/10/2019,34,22,-6.51,0,0,0,,-0.5,-0.5,
222,8,267,A16F14,,,,,,3,,265,22/10/2019,34,22,-6.51,-45,-0.5,0,,0,0,
223,9,268,A16F14,,,,,,3,,265,22/10/2019,34,22,-6.51,45,-0.5,0,,0,0,
224,10,269,A16F14,,,,,,3,,265,22/10/2019,34,22,-6.51,180,0.5,0,,0,0,
225,11,270,A16F14,,,,,,3,,265,22/10/2019,34,22,-6.51,180,0,0,,0,1,
226,1,271,A16F14,,,,,,3,,273,22/10/2019,35,22,-6.51,195,0,0,,0,-0.5,
227,2,272,A16F14,,,,,,3,,273,22/10/2019,35,22,-6.51,165,0,0,,0,0,
228,4,274,A16F14,,,,,,3,,273,22/10/2019,35,22,-6.51,150,1,0,,0,0,
229,5,275,A16F14,,,,,,3,,273,22/10/2019,35,22,-6.51,210,1,0,,0,0,
86,6,101,A1F11,,,,,,4,,100,10/09/2019,14,21,-6.51,180,0,-0.5,,0,0,
87,7,102,A1F11,,,,,,4,,100,10/09/2019,14,21,-6.51,180,0,0.5,,0,-0.5,
88,8,103,A1F11,,,,,,4,,100,10/09/2019,14,21,-6.51,195,0.5,-0.5,,0,0,
89,9,104,A1F11,,,,,,4,,100,10/09/2019,14,21,-6.51,150,-0.5,0,,0,0,
90,1,105,A1F11,1.5,sphere,0,-0.75,-6.5,4,109,110,10/09/2019,15,21,-6.51,0,0,0,,0,0,0
91,2,106,A1F11,1.5,sphere,-0.75,0.75,-6.5,4,109,110,10/09/2019,15,21,-6.51,180,0,0,,0,0,0
92,3,107,A1F11,1,sphere,-2,-1.5,-6.7,4,109,110,10/09/2019,15,21,-6.51,165,0,0,,0.5,1,0
93,4,108,A1F11,1,sphere,0,-2.5,-6.7,4,109,110,10/09/2019,15,21,-6.51,0,0,0,,0,-1,0
94,7,111,A1F11,1.5,sphere,1,-1.75,-6.5,4,115,110,10/09/2019,15,21,-6.51,-15,0,-1,,0,0,0
95,8,112,A1F11,1,sphere,-2.25,-3,-6.7,4,115,110,10/09/2019,15,21,-6.51,0,0,-1,,1,0,0
96,9,113,A1F11,0.5,sphere,-1.5,-2.5,-6.7,4,115,110,10/09/2019,15,21,-6.51,0,0,-1,,0,0,0
97,10,114,A1F11,0.5,sphere,-2,-1.25,-6.7,4,115,110,10/09/2019,15,21,-6.51,180,0,-1,,0,0,0
242,1,292,A12F13,,,,,,4,,298,23/10/2019,39,22,-6.51,0,0,0,,0,0,
243,2,293,A12F13,,,,,,4,,298,23/10/2019,39,22,-6.51,15,0,-0.5,,0,0,
244,3,294,A12F13,,,,,,4,,298,23/10/2019,39,22,-6.51,30,0,0.5,,0,0,
245,4,295,A12F13,,,,,,4,,298,23/10/2019,39,22,-6.51,45,0.5,0,,0,0,
246,5,296,A12F13,,,,,,4,,298,23/10/2019,39,22,-6.51,60,-0.5,0,,0,0,
247,6,297,A12F13,,,,,,4,,298,23/10/2019,39,22,-6.51,75,0.5,0.5,,0,0,
248,8,299,A12F13,,,,,,4,,298,23/10/2019,39,22,-6.51,-15,0,0,,0,0,
